unit_type,field,value
RE_CT,HR_incr_2,0.0
RE_CT,HR_incr_3,0.0
RE_CT,HR_incr_4,0.0
RE_CT,CO2_Emissions ton/MMBTU,0.0535
RE_CT,Inertia MJ/MW,3.0
IC,Min Gen pu,0.3
IC,Ramp Rate pu/Hr,1.0
IC,FOR,0.0616
IC,MTTR Hr,31.0
IC,Lagtime,1.0
IC,Capex Years,15.0
IC,Lifetime,30.0
IC,Fixed OM Cost per MW,11023.0
IC,Preference Multiplier,1.0
IC,Fuel Price $/MMBTU,3.887
IC,Output_pct_0,1.0
IC,Output_pct_1,0.0
IC,Output_pct_2,0.0
IC,Output_pct_3,0.0
IC,Output_pct_4,0.0
IC,HR_avg_0,8708.0
IC,HR_incr_1,0.0
IC,HR_incr_2,0.0
IC,HR_incr_3,0.0
IC,HR_incr_4,0.0
IC,CO2_Emissions ton/MMBTU,0.0535
IC,Inertia MJ/MW,2.0
HY,Min Gen pu,0.0
HY,Ramp Rate pu/Hr,60.0
HY,FOR,0.0233
HY,MTTR Hr,22.0
HY,Lagtime,5.0
HY,Capex Years,20.0
HY,Lifetime,150.0
HY,Fixed OM Cost per MW,114000.0
HY,Preference Multiplier,1.0
HY,Capacity Eligible,true
HY,REC Eligible,false
HY,Fuel Price $/MMBTU,0.0
HY,Output_pct_0,1.0
HY,Output_pct_1,0.0
HY,Output_pct_2,0.0
HY,Output_pct_3,0.0
HY,Output_pct_4,0.0
HY,HR_avg_0,0.0
HY,HR_incr_1,0.0
HY,HR_incr_2,0.0
HY,HR_incr_3,0.0
HY,HR_incr_4,0.0
HY,CO2_Emissions ton/MMBTU,0.0
HY,Inertia MJ/MW,3.5
WIND,Min Gen pu,0.0
WIND,Ramp Rate pu/Hr,60.0
WIND,FOR,0.0
WIND,MTTR Hr,0.0
WIND,Lagtime,2.0
WIND,Capex Years,20.0
WIND,Lifetime,25.0
WIND,Fixed OM Cost per MW,43000.0
WIND,Preference Multiplier,1.0
WIND,Capacity Eligible,true
WIND,REC Eligible,true
WIND,Fuel Price $/MMBTU,0.0
WIND,Output_pct_0,1.0
WIND,Output_pct_1,0.0
WIND,Output_pct_2,0.0
WIND,Output_pct_3,0.0
WIND,Output_pct_4,0.0
WIND,HR_avg_0,0.0
WIND,HR_incr_1,0.0
WIND,HR_incr_2,0.0
WIND,HR_incr_3,0.0
WIND,HR_incr_4,0.0
WIND,CO2_Emissions ton/MMBTU,0.0
WIND,Inertia MJ/MW,3.5
PV,Min Gen pu,0.0
PV,Ramp Rate pu/Hr,60.0
PV,FOR,0.0
PV,MTTR Hr,0.0
PV,Lagtime,1.0
PV,Capex Years,20.0
PV,Lifetime,30.0
PV,Fixed OM Cost per MW,19000.0
PV,Preference Multiplier,1.0
PV,Capacity Eligible,true
PV,REC Eligible,true
PV,Fuel Price $/MMBTU,0.0
PV,Output_pct_0,1.0
PV,Output_pct_1,0.0
PV,Output_pct_2,0.0
PV,Output_pct_3,0.0
PV,Output_pct_4,0.0
PV,HR_avg_0,0.0
PV,HR_incr_1,0.0
PV,HR_incr_2,0.0
PV,HR_incr_3,0.0
PV,HR_incr_4,0.0
PV,CO2_Emissions ton/MMBTU,0.0
PV,Inertia MJ/MW,2.5
RTPV,Min Gen pu,0.0
RTPV,Ramp Rate pu/Hr,60.0
RTPV,FOR,0.0
RTPV,MTTR Hr,0.0
RTPV,Lagtime,1.0
RTPV,Capex Years,20.0
RTPV,Lifetime,30.0
RTPV,Fixed OM Cost per MW,19000.0
RTPV,Preference Multiplier,1.0
RTPV,Capacity Eligible,true
RTPV,REC Eligible,true
RTPV,Fuel Price $/MMBTU,0.0
RTPV,Output_pct_0,1.0
RTPV,Output_pct_1,0.0
RTPV,Output_pct_2,0.0
RTPV,Output_pct_3,0.0
RTPV,Output_pct_4,0.0
RTPV,HR_avg_0,0.0
RTPV,HR_incr_1,0.0
RTPV,HR_incr_2,0.0
RTPV,HR_incr_3,0.0
RTPV,HR_incr_4,0.0
RTPV,CO2_Emissions ton/MMBTU,0.0
RTPV,Inertia MJ/MW,2.5
